src,dst,count,source_color,destination_color
ORD,ATL,20,#3358FF,#FF3F33
ATL,ORD,19,#3358FF,#FF3F33
HKT,BKK,13,#3358FF,#FF3F33
ORD,MSY,13,#3358FF,#FF3F33
JFK,LHR,12,#3358FF,#FF3F33
CAN,HGH,12,#3358FF,#FF3F33
MIA,ATL,12,#3358FF,#FF3F33
LHR,JFK,12,#3358FF,#FF3F33
ATL,MIA,12,#3358FF,#FF3F33
HKG,BKK,12,#3358FF,#FF3F33
DOH,BAH,12,#3358FF,#FF3F33
AUH,MCT,12,#3358FF,#FF3F33
BKK,HKG,12,#3358FF,#FF3F33
KGL,EBB,11,#3358FF,#FF3F33
MSY,JFK,11,#3358FF,#FF3F33
JFK,CDG,11,#3358FF,#FF3F33
ATL,DEN,11,#3358FF,#FF3F33
JFK,MSY,11,#3358FF,#FF3F33
LAX,LHR,11,#3358FF,#FF3F33
LHR,LAX,11,#3358FF,#FF3F33
CDG,JFK,11,#3358FF,#FF3F33
SFO,ATL,11,#3358FF,#FF3F33
SYD,AKL,11,#3358FF,#FF3F33
DEN,ATL,11,#3358FF,#FF3F33
MCT,AUH,11,#3358FF,#FF3F33
HRE,LUN,11,#3358FF,#FF3F33
CNX,BKK,11,#3358FF,#FF3F33
ATL,DFW,11,#3358FF,#FF3F33
KUL,SIN,10,#3358FF,#FF3F33
HGH,CGO,10,#3358FF,#FF3F33
CKG,XIY,10,#3358FF,#FF3F33
HKG,ICN,10,#3358FF,#FF3F33
BKK,HKT,10,#3358FF,#FF3F33
JHG,KMG,10,#3358FF,#FF3F33
BKK,CNX,10,#3358FF,#FF3F33
ICN,BKK,10,#3358FF,#FF3F33
HGH,DLC,10,#3358FF,#FF3F33
SFO,LHR,10,#3358FF,#FF3F33
AKL,SYD,10,#3358FF,#FF3F33
CMB,MLE,10,#3358FF,#FF3F33
SIN,KUL,10,#3358FF,#FF3F33
SIN,CGK,10,#3358FF,#FF3F33
NRT,TPE,10,#3358FF,#FF3F33
JFK,MXP,10,#3358FF,#FF3F33
BKK,ICN,10,#3358FF,#FF3F33
ATL,JFK,10,#3358FF,#FF3F33
NRT,ICN,10,#3358FF,#FF3F33
ORD,CDG,10,#3358FF,#FF3F33
HGH,CAN,10,#3358FF,#FF3F33
XIY,CKG,10,#3358FF,#FF3F33
ICN,HKG,10,#3358FF,#FF3F33
CGK,KUL,10,#3358FF,#FF3F33
DPS,SIN,10,#3358FF,#FF3F33
KUL,CGK,10,#3358FF,#FF3F33
CGK,SIN,10,#3358FF,#FF3F33
BKK,SIN,10,#3358FF,#FF3F33
LHR,SFO,10,#3358FF,#FF3F33
SIN,DPS,10,#3358FF,#FF3F33
DFW,ATL,10,#3358FF,#FF3F33
MLE,CMB,10,#3358FF,#FF3F33
